retest_window_bars,closed_cycles,win_rate_pct,net_profit_usdt,profit_factor,mdd_usdt,mdd_pct,max_position_notional_usdt,max_initial_margin_usdt,max_open_entries,worst_intraday_adverse_move_pct,long_cycles,long_win_rate_pct,short_cycles,short_win_rate_pct,best_cycle_usdt,worst_cycle_usdt,suggested_cash_floor_usdt
3,502,20.51792828685259,-65.36026090049268,0.699098821536198,-68.57037329650632,-6.846887719565182,200.0,20.0,2,-7.143116341739297,284,18.661971830985916,218,22.93577981651376,7.995799961145281,-6.957901868767976,188.57037329650632
72,569,20.38664323374341,-54.835442604920104,0.7694672829258369,-58.35988449264994,-5.834822290746254,200.0,20.0,2,-7.143116341739297,313,17.252396166134183,256,24.21875,17.703151831608807,-6.957901868767976,178.35988449264994
