timestamp,open,high,low,close,volume,ma20,ma60,ma200,bb_mid,bb_std,bb_upper,bb_lower,atr14,adx14,ma200_prev
2020-01-01 00:00:00+00:00,7189.43,7190.52,7170.15,7171.55,2449.049,,,,,,,,,,
2020-01-01 01:00:00+00:00,7171.43,7225.0,7171.1,7210.24,3865.038,,,,,,,,,,
2020-01-01 02:00:00+00:00,7210.38,7239.3,7206.46,7237.99,3228.365,,,,,,,,,,
2020-01-01 03:00:00+00:00,7237.41,7239.74,7215.0,7221.65,2513.307,,,,,,,,,,
2020-01-01 04:00:00+00:00,7221.8,7225.41,7211.22,7213.86,1176.666,,,,,,,,,,
2020-01-01 05:00:00+00:00,7213.86,7224.09,7213.86,7220.31,928.221,,,,,,,,,,
2020-01-01 06:00:00+00:00,7220.31,7230.0,7217.6,7221.0,1283.557,,,,,,,,,,
2020-01-01 07:00:00+00:00,7220.99,7227.2,7193.52,7205.26,2349.907,,,,,,,,,,
2020-01-01 08:00:00+00:00,7205.26,7206.29,7174.0,7195.24,3385.349,,,,,,,,,,
2020-01-01 09:00:00+00:00,7195.23,7204.99,7182.76,7184.45,1687.285,,,,,,,,,,
2020-01-01 10:00:00+00:00,7184.46,7205.0,7181.43,7197.25,1222.531,,,,,,,,,,
2020-01-01 11:00:00+00:00,7197.27,7234.57,7185.01,7192.65,3741.128,,,,,,,,,,
2020-01-01 12:00:00+00:00,7192.74,7224.26,7191.79,7220.72,2419.669,,,,,,,,,,
2020-01-01 13:00:00+00:00,7220.72,7226.9,7210.0,7215.54,1826.277,,,,,,,,24.762892489719988,,
2020-01-01 14:00:00+00:00,7215.49,7228.47,7204.0,7216.8,2546.332,,,,,,,,24.74197159759715,,
2020-01-01 15:00:00+00:00,7216.8,7260.43,7215.0,7229.49,4218.25,,,,,,,,26.219687912054518,,
2020-01-01 16:00:00+00:00,7229.66,7247.0,7210.81,7241.91,2453.81,,,,,,,,26.931853061193454,,
2020-01-01 17:00:00+00:00,7241.91,7248.0,7221.88,7233.8,2477.807,,,,,,,,26.87386355682249,,
2020-01-01 18:00:00+00:00,7233.87,7241.95,7222.0,7237.47,1827.668,,,,,,,,26.379301874192297,,
2020-01-01 19:00:00+00:00,7237.83,7237.83,7223.15,7226.35,1028.577,7214.6765,,,,,,,25.543637454607154,,
2020-01-01 20:00:00+00:00,7226.56,7242.0,7223.09,7233.3,1476.534,7217.764,,,,,,,25.069806207849492,,
2020-01-01 21:00:00+00:00,7233.32,7238.79,7225.0,7229.71,1210.884,7218.7375,,,,,,,24.26410576443167,,
2020-01-01 22:00:00+00:00,7229.71,7229.71,7183.26,7195.01,4361.306,7216.5885,,,,,,,25.84881249554368,,
2020-01-01 23:00:00+00:00,7195.0,7199.5,7174.0,7197.57,3123.812,7215.3845,,,,,,,25.823897317290562,,
2020-01-02 00:00:00+00:00,7197.57,7209.59,7182.19,7208.29,1512.807,7215.106,,,,,,,25.936476080341276,,
2020-01-02 01:00:00+00:00,7208.29,7208.3,7183.01,7188.73,1872.396,7213.526999999999,,,,,,,25.890299217459756,,
2020-01-02 02:00:00+00:00,7188.64,7188.64,7155.0,7166.56,5106.854,7210.805,,,,,,,26.45027784478403,24.89976778842486,
2020-01-02 03:00:00+00:00,7166.92,7166.92,7121.0,7127.29,4871.843,7206.9065,,,,,,,27.84097228444232,26.29781882895022,
2020-01-02 04:00:00+00:00,7126.94,7159.3,7112.06,7139.36,4720.779,7204.1125,,,,,,,29.226617121267854,27.829539506483496,
2020-01-02 05:00:00+00:00,7139.65,7149.37,7123.87,7135.44,2392.655,7201.662000000001,,,,,,,28.960430184034436,29.251851564192965,
2020-01-02 06:00:00+00:00,7135.44,7145.36,7119.1,7132.0,2327.214,7198.399500000001,,,,,,,28.767542313746212,30.703789017575666,
2020-01-02 07:00:00+00:00,7132.0,7137.91,7101.0,7107.56,6169.713,7194.1449999999995,,,,,,,29.3491464341929,32.50439894887072,
2020-01-02 08:00:00+00:00,7107.53,7153.26,7106.75,7148.56,5149.4,7190.536999999999,,,,,,,30.574921688893422,33.03029163507388,
2020-01-02 09:00:00+00:00,7148.56,7163.99,7133.04,7159.41,3137.868,7187.730500000001,,,,,,,30.601712996829594,32.80028441002121,
2020-01-02 10:00:00+00:00,7159.41,7175.0,7150.58,7157.81,4615.755,7184.781,,,,,,,30.16016206848463,31.90422630734906,
2020-01-02 11:00:00+00:00,7157.35,7164.95,7136.24,7136.24,2448.788,7180.1185,,,,,,,30.056579063592874,31.60520991808492,
2020-01-02 12:00:00+00:00,7136.36,7160.0,7136.33,7155.08,1989.615,7175.777,,,,,,,29.6068234161934,31.32755184233965,
2020-01-02 13:00:00+00:00,7155.1,7159.0,7103.0,7127.24,7844.971,7170.4490000000005,,,,,,,31.492050315036728,32.1097656919421,
2020-01-02 14:00:00+00:00,7127.5,7154.06,7120.0,7131.0,4008.742,7165.1255,,,,,,,31.675475292534134,32.836107123715806,
2020-01-02 15:00:00+00:00,7131.0,7146.85,7115.03,7126.25,2793.228,7160.1205,,,,,,,31.6857984859246,33.64936252328553,
2020-01-02 16:00:00+00:00,7126.25,7143.29,7030.0,7049.61,14012.552,7150.936,,,,,,,37.51467002264427,35.92971149447477,
2020-01-02 17:00:00+00:00,7049.62,7050.23,6922.0,6966.86,20436.85,7137.7935,,,,,,,43.994336449598215,38.892258808709286,
2020-01-02 18:00:00+00:00,6966.99,6985.0,6947.0,6969.85,5091.415,7126.535500000001,,,,,,,43.5661695603412,41.64319560049847,
2020-01-02 19:00:00+00:00,6970.66,6991.0,6958.0,6979.44,4260.499,7115.629000000001,,,,,,,42.81144316317397,43.92312163572689,
2020-01-02 20:00:00+00:00,6979.45,6980.0,6938.36,6944.95,4156.265,7102.4619999999995,,,,,,,42.72776865151871,46.17417596275986,
2020-01-02 21:00:00+00:00,6944.95,6982.83,6944.43,6973.5,2211.264,7091.700500000001,,,,,,,42.41864231926735,48.12797854125746,
2020-01-02 22:00:00+00:00,6973.85,6974.27,6960.0,6970.36,1455.04,7081.8904999999995,,,,,,,40.40802501074828,49.942223792719524,
2020-01-02 23:00:00+00:00,6970.61,6970.61,6950.01,6962.04,2709.164,7073.628,,,,,,,38.99316608140908,51.70758332095056,
2020-01-03 00:00:00+00:00,6962.34,6962.8,6906.24,6934.27,4841.639,7063.3735,,,,,,,40.24793993273703,53.65027895545218,
2020-01-03 01:00:00+00:00,6934.27,6944.01,6872.78,6884.74,7655.442,7050.8385,,,,,,,42.46094422325585,55.63692600091603,
2020-01-03 02:00:00+00:00,6884.72,6960.0,6863.44,6952.58,8368.489,7041.8674999999985,,,,,,,46.32516249302331,56.72027970496129,
2020-01-03 03:00:00+00:00,6952.59,6958.5,6935.74,6947.35,2555.491,7033.856999999999,,,,,,,44.64193660066452,57.72625100157475,
2020-01-03 04:00:00+00:00,6947.44,7300.0,6945.84,7204.37,31534.103,7036.647499999999,,,,,,,66.75036970061704,55.77620709851289,
2020-01-03 05:00:00+00:00,7204.86,7244.38,7163.16,7215.59,10344.656,7039.4565,,,,,,,67.78391472200155,53.965452045669736,
2020-01-03 06:00:00+00:00,7214.42,7220.0,7185.0,7197.0,5048.502,7041.416,,,,,,,65.44220652757286,52.284036639458236,
2020-01-03 07:00:00+00:00,7197.1,7227.73,7182.42,7198.02,5623.634,7044.505,,,,,,,64.00419177560335,50.804617265108085,
2020-01-03 08:00:00+00:00,7198.02,7300.0,7198.0,7258.0,11949.146,7049.651,,,,,,,66.71817807734597,50.12643138415181,
2020-01-03 09:00:00+00:00,7257.99,7360.76,7254.74,7345.15,15213.265,7060.5464999999995,,,,,,,69.5254510718213,49.97518025107797,
2020-01-03 10:00:00+00:00,7345.15,7368.33,7280.44,7310.0,11265.916,7069.496499999999,,,,,,,70.83720456669123,49.89074754478058,
2020-01-03 11:00:00+00:00,7310.0,7344.15,7305.0,7338.11,5591.666,7080.0895,7151.628833333333,,,,,,68.57383281192755,49.812345746075856,
2020-01-03 12:00:00+00:00,7338.4,7348.52,7306.01,7321.57,5590.826,7093.6875,7154.129166666667,,,,,,66.71213046821845,49.77611140240744,
2020-01-03 13:00:00+00:00,7321.31,7379.0,7310.85,7346.07,5235.166,7112.647999999999,7156.393,,,,,,66.81483543477425,49.99539551692109,
2020-01-03 14:00:00+00:00,7345.74,7359.95,7229.0,7252.7,13087.716,7126.7905,7156.638166666667,,,,,,71.39591861800466,48.364277390577435,
2020-01-03 15:00:00+00:00,7252.72,7321.56,7250.0,7316.01,5720.751,7143.618999999999,7158.2108333333335,,,,,,71.40763871671865,46.84966770182975,
2020-01-03 16:00:00+00:00,7315.36,7407.28,7289.06,7383.0,17233.809,7165.5215,7161.029833333334,,,,,,74.75137880838156,46.32521750344424,
2020-01-03 17:00:00+00:00,7383.0,7400.35,7333.24,7352.9,7599.389,7184.491500000001,7163.239666666666,,,,,,74.20556603635434,45.83822803351484,
2020-01-03 18:00:00+00:00,7352.88,7368.22,7327.3,7340.42,4993.164,7202.994499999999,7165.2300000000005,,,,,,71.82802560518618,45.252093481770146,
2020-01-03 19:00:00+00:00,7340.33,7347.0,7276.35,7338.9,7234.022,7221.8375,7167.457333333334,,,,,,71.74388091910144,43.622102690394335,
2020-01-03 20:00:00+00:00,7338.91,7359.0,7295.24,7315.05,5327.82,7240.8765,7169.454166666666,,,,,,71.17360371059421,42.25951421515359,
2020-01-03 21:00:00+00:00,7315.05,7330.0,7257.67,7277.27,5531.272,7260.503,7171.001166666667,,,,,,71.25620344555176,40.24569934395103,
2020-01-03 22:00:00+00:00,7277.28,7316.0,7255.84,7296.78,6211.788,7277.713000000001,7172.660000000001,,,,,,70.4636174851552,38.339924320675735,
2020-01-03 23:00:00+00:00,7296.64,7342.0,7288.3,7341.72,4735.786,7297.431500000001,7175.144499999999,,,,,,69.26621623621553,36.95924250332196,
2020-01-04 00:00:00+00:00,7341.6,7347.02,7283.21,7302.87,4169.558,7302.3565,7176.513666666667,,,,,,68.87648650505731,35.56575004385586,
2020-01-04 01:00:00+00:00,7303.02,7308.63,7279.0,7305.22,2146.426,7306.837999999999,7178.008333333333,,,,,,66.07316604041037,34.17496896045184,
2020-01-04 02:00:00+00:00,7304.97,7325.0,7292.89,7324.13,2018.056,7313.1945,7179.797166666667,,,,,,63.64722560895247,33.159822656711555,
2020-01-04 03:00:00+00:00,7324.13,7336.5,7314.27,7329.29,2709.515,7319.758,7181.4605,,,,,,60.68885235117012,32.4098584058449,
2020-01-04 04:00:00+00:00,7329.4,7334.29,7310.0,7330.28,2216.484,7323.372,7182.933333333333,,,,,,58.08893432608654,31.596961475020947,
