entry_time,exit_time,side,entries,entry_notional,avg_entry,exit_price,partial_taken,net_pnl,return_on_max_margin_pct,max_favorable_pct,max_adverse_pct,reason,entry_fees,exit_fees
2020-01-15 10:00:00+00:00,2020-01-15 10:00:00+00:00,long,1,100.0,8761.741998,8728.446461500002,False,-0.47982045966818987,-4.798204596681899,0.5621941619742277,-0.4211719314312523,ma20_or_stop,0.05,0.04980999476754966
2020-01-15 16:00:00+00:00,2020-01-15 16:00:00+00:00,long,1,100.0,8769.923634,8748.2839932,False,-0.3466249637082228,-3.466249637082228,0.6272160202940302,-1.0205748389074398,ma20_or_stop,0.05,0.049876625831061366
2020-01-15 18:00:00+00:00,2020-01-15 18:00:00+00:00,long,1,100.0,8802.920232,8751.341381600001,False,-0.685635898271471,-6.85635898271471,0.0,-0.941508383760159,ma20_or_stop,0.05,0.04970703556864856
2020-01-23 22:00:00+00:00,2020-01-23 22:00:00+00:00,short,1,100.0,8401.459372,8446.3934409,False,-0.6351038902155324,-6.351038902155323,0.0,-0.6047833566789729,ma20_or_stop,0.05,0.05026741823598977
2020-01-24 00:00:00+00:00,2020-01-24 01:00:00+00:00,short,1,100.0,8408.318,8418.1843002,False,-0.21739843034117712,-2.173984303411771,0.5139910265049341,-0.1980419865185823,ma20_or_stop,0.05,0.050058669880230514
2020-01-28 06:00:00+00:00,2020-01-28 10:00:00+00:00,long,1,100.0,9068.343306,8980.474545800002,False,-1.068477073003919,-10.68477073003919,0.1934939316687423,-1.278439755619909,ma20_or_stop,0.05,0.04951551922310957
2020-01-28 16:00:00+00:00,2020-01-28 16:00:00+00:00,long,1,100.0,9031.806,9028.194,False,-0.13997200559879275,-1.3997200559879275,0.22657705446729182,-0.6510990160771835,ma20_or_stop,0.05,0.049980003999200155
2020-02-06 23:00:00+00:00,2020-02-06 23:00:00+00:00,long,1,100.0,9701.53992,9697.660080000001,False,-0.13997200559879275,-1.3997200559879275,0.8105937887023629,-0.4075633386663391,ma20_or_stop,0.05,0.04998000399920017
2020-02-09 16:00:00+00:00,2020-02-09 18:00:00+00:00,long,1,100.0,10109.0214,10077.539089,False,-0.41127216571624103,-4.11272165716241,0.29091441037012444,-0.3760146357984717,ma20_or_stop,0.05,0.04984428606017196
2020-02-17 13:00:00+00:00,2020-02-17 15:00:00+00:00,short,2,200.0,9597.928365164613,9601.909998,True,1.0947715571637673,5.473857785818836,1.4173721660432514,-0.715275549300376,ma20_or_stop,0.1,0.09935293775254192
