side,entry_date,exit_date,entries,entry_notional,exit_price,gross_pnl,fees,net_pnl,return_on_total_notional_pct
SHORT,2022-06-14T00:00:00+00:00,2022-07-06T00:00:00+00:00,22,2200.0,20174.134019999998,37.97331792231338,2.1810133410388435,35.792304581274536,1.626922935512479
SHORT,2022-07-12T00:00:00+00:00,2022-07-15T00:00:00+00:00,2,200.0,20582.715719999997,-9.711023551663718,0.20485551177583186,-9.915879063439549,-4.9579395317197745
LONG,2023-03-18T00:00:00+00:00,2023-04-04T00:00:00+00:00,17,1700.0,27780.54278,0.5182576781421051,1.700259128839071,-1.182001450696966,-0.06952949709982154
LONG,2023-04-05T00:00:00+00:00,2023-04-06T00:00:00+00:00,1,100.0,28148.3692,-0.04389736896822312,0.0999780513155159,-0.143875420283739,-0.143875420283739
LONG,2023-04-07T00:00:00+00:00,2023-04-08T00:00:00+00:00,1,100.0,27885.121860000003,-0.5115603638101687,0.09974421981809492,-0.6113045836282637,-0.6113045836282637
LONG,2023-04-09T00:00:00+00:00,2023-04-10T00:00:00+00:00,1,100.0,28303.73812,1.3363646935141786,0.10066818234675709,1.2356965111674214,1.2356965111674214
LONG,2023-04-11T00:00:00+00:00,2023-04-20T00:00:00+00:00,9,900.0,28789.241,-39.095671383182896,0.8804521643084086,-39.976123547491305,-4.441791505276812
LONG,2023-10-24T00:00:00+00:00,2023-11-15T00:00:00+00:00,22,2200.0,35551.98818,26.945961265451743,2.213472980632726,24.732488284819016,1.1242040129463189
LONG,2023-11-16T00:00:00+00:00,2023-11-17T00:00:00+00:00,1,100.0,36168.7648,-4.550467874249265,0.09772476606287536,-4.64819264031214,-4.64819264031214
LONG,2023-11-18T00:00:00+00:00,2023-11-22T00:00:00+00:00,4,400.0,35729.8526,-13.868588020378427,0.39306570598981083,-14.261653726368237,-3.5654134315920594
LONG,2023-11-23T00:00:00+00:00,2023-11-28T00:00:00+00:00,5,500.0,37226.953120000006,-4.042533467158339,0.49797873326642084,-4.54051220042476,-0.908102440084952
LONG,2023-11-29T00:00:00+00:00,2023-12-14T00:00:00+00:00,15,1500.0,42866.425,63.0011851783174,1.5315005925891587,61.46968458572824,4.097978972381883
LONG,2023-12-15T00:00:00+00:00,2023-12-18T00:00:00+00:00,3,300.0,41388.32068,-7.386218350156354,0.2963068908249219,-7.682525240981276,-2.5608417469937588
LONG,2023-12-19T00:00:00+00:00,2023-12-20T00:00:00+00:00,1,100.0,42289.740359999996,-0.9151615278020624,0.09954241923609897,-1.0147039470381614,-1.0147039470381614
LONG,2023-12-21T00:00:00+00:00,2023-12-25T00:00:00+00:00,4,400.0,42999.79832,-7.673743649983662,0.3961631281750082,-8.06990677815867,-2.0174766945396674
LONG,2023-12-26T00:00:00+00:00,2023-12-27T00:00:00+00:00,1,100.0,42530.09228,-2.5000333340039878,0.09874998333299802,-2.5987833173369856,-2.5987833173369856
LONG,2023-12-28T00:00:00+00:00,2023-12-29T00:00:00+00:00,1,100.0,42591.57998,-2.0038216051840427,0.09899808919740799,-2.1028196943814503,-2.1028196943814503
LONG,2024-01-02T00:00:00+00:00,2024-01-04T00:00:00+00:00,2,200.0,42840.9301,-7.934597544905007,0.1960327012275475,-8.130630246132554,-4.065315123066277
LONG,2024-01-05T00:00:00+00:00,2024-01-06T00:00:00+00:00,1,100.0,44136.47094000001,-0.03659537484805714,0.09998170231257597,-0.1365770771606331,-0.1365770771606331
LONG,2024-01-07T00:00:00+00:00,2024-01-09T00:00:00+00:00,1,100.0,46963.20548,6.818577226301831,0.10340928861315091,6.715167937688681,6.715167937688681
LONG,2024-01-10T00:00:00+00:00,2024-01-13T00:00:00+00:00,3,300.0,42780.4422,-23.281722299057446,0.28835913885047126,-23.570081437907916,-7.856693812635972
LONG,2024-02-12T00:00:00+00:00,2024-03-17T00:00:00+00:00,33,3300.0,65337.9298,379.37535635997307,3.489687678179987,375.8856686817931,11.390474808539185
LONG,2024-03-18T00:00:00+00:00,2024-03-19T00:00:00+00:00,1,100.0,67646.46800000001,-1.190626137956512,0.09940468693102175,-1.2900308248875338,-1.2900308248875338
LONG,2024-03-21T00:00:00+00:00,2024-03-22T00:00:00+00:00,1,100.0,65526.79201999999,-3.480901635703181,0.09825954918214841,-3.5791611848853293,-3.5791611848853293
LONG,2024-03-26T00:00:00+00:00,2024-04-02T00:00:00+00:00,7,700.0,69686.06,-4.990121906472309,0.6975049390467639,-5.687626845519072,-0.8125181207884389
LONG,2024-04-09T00:00:00+00:00,2024-04-10T00:00:00+00:00,1,100.0,69175.36216,-3.511202338742411,0.0982443988306288,-3.6094467375730397,-3.6094467375730397
LONG,2024-10-30T00:00:00+00:00,2024-11-04T00:00:00+00:00,1,100.0,68748.7475,-5.505261240591408,0.0972473693797043,-5.602508609971112,-5.602508609971112
LONG,2024-11-07T00:00:00+00:00,2024-12-04T00:00:00+00:00,27,2700.0,95894.11734000001,178.77695233620108,2.7893884761681003,175.987563860033,6.518057920741962
LONG,2024-12-05T00:00:00+00:00,2024-12-06T00:00:00+00:00,1,100.0,96982.19968,-1.7300054134331992,0.0991349972932834,-1.8291404107264826,-1.8291404107264826
LONG,2024-12-07T00:00:00+00:00,2024-12-10T00:00:00+00:00,3,300.0,97329.63018000001,-8.932710562196373,0.29553364471890187,-9.228244206915276,-3.0760814023050917
LONG,2024-12-12T00:00:00+00:00,2024-12-20T00:00:00+00:00,8,800.0,97414.81314,-39.984733339106825,0.7800076333304466,-40.76474097243727,-5.095592621554658
LONG,2025-07-11T00:00:00+00:00,2025-07-26T00:00:00+00:00,12,1200.0,117559.88332,-7.683666331960609,1.1961581668340198,-8.879824498794628,-0.7399853748995523
LONG,2025-07-28T00:00:00+00:00,2025-07-29T00:00:00+00:00,1,100.0,118017.89170000001,-1.1967553777675868,0.09940162231111621,-1.296157000078703,-1.296157000078703
LONG,2025-08-14T00:00:00+00:00,2025-08-15T00:00:00+00:00,1,100.0,118218.55155999999,-4.158956554662552,0.09792052172266873,-4.256877076385221,-4.256877076385221
SHORT,2025-11-21T00:00:00+00:00,2025-12-01T00:00:00+00:00,10,1000.0,90338.5641,-25.059409370861346,1.0125297046854307,-26.071939075546776,-2.6071939075546777
SHORT,2025-12-02T00:00:00+00:00,2025-12-03T00:00:00+00:00,1,100.0,91267.34982,-5.848816337132671,0.10292440816856635,-5.951740745301238,-5.951740745301238
SHORT,2025-12-06T00:00:00+00:00,2025-12-07T00:00:00+00:00,1,100.0,89214.93942000001,0.06250968522807732,0.09996874515738596,-0.03745905992930864,-0.03745905992930864
SHORT,2025-12-13T00:00:00+00:00,2025-12-14T00:00:00+00:00,1,100.0,90209.33826,0.002567074092729112,0.09999871646295364,-0.09743164237022453,-0.09743164237022453
SHORT,2025-12-15T00:00:00+00:00,2025-12-18T00:00:00+00:00,3,300.0,86218.84032,4.125355226684216,0.29793732238665793,3.8274179042975582,1.275805968099186
SHORT,2025-12-19T00:00:00+00:00,2025-12-23T00:00:00+00:00,3,300.0,88599.2163,-4.6043440737730945,0.3023021720368866,-4.9066462458099815,-1.635548748603327
SHORT,2025-12-24T00:00:00+00:00,2025-12-27T00:00:00+00:00,2,200.0,87335.76366,-0.06987698159133401,0.20003493849079568,-0.2699119200821297,-0.13495596004106486
SHORT,2026-02-01T00:00:00+00:00,2026-02-26T00:00:00+00:00,25,2500.0,67966.0905,46.77261464175833,2.4766136926791207,44.29600094907921,1.7718400379631682
SHORT,2026-02-28T00:00:00+00:00,2026-03-01T00:00:00+00:00,1,100.0,66950.38739999999,-1.7130143933884117,0.1008565071966942,-1.813870900585106,-1.813870900585106
SHORT,2026-03-02T00:00:00+00:00,2026-03-03T00:00:00+00:00,1,100.0,68815.56036,-4.683545108426112,0.10234177255421306,-4.785886880980325,-4.785886880980325
