open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,date,ma20,bb_mid,bb_upper,bb_lower,long_signal,short_signal
1577836800000,7189.43,7260.43,7170.15,7197.57,56801.329,1577923199999,409678760.56957,101871,28834.2,208001969.84595,0,2020-01-01 00:00:00+00:00,,,,,False,False
1577923200000,7197.57,7209.59,6922.0,6962.04,115295.677,1578009599999,815627831.08338,224747,55404.262,391911677.42577,0,2020-01-02 00:00:00+00:00,,,,,False,False
1578009600000,6962.34,7407.28,6863.44,7341.72,208493.458,1578095999999,1507313613.42952,409820,107485.965,777056807.77789,0,2020-01-03 00:00:00+00:00,,,,,False,False
1578096000000,7341.6,7400.0,7269.21,7350.71,92586.033,1578182399999,678402363.73751,186349,46139.09,338139639.44063,0,2020-01-04 00:00:00+00:00,,,,,False,False
1578182400000,7350.54,7495.0,7303.0,7354.36,117765.972,1578268799999,874488521.38096,238905,58447.543,434120205.45978,0,2020-01-05 00:00:00+00:00,,,,,False,False
1578268800000,7354.36,7808.65,7345.0,7757.39,168150.317,1578355199999,1272203777.30362,323625,86031.412,651077883.24518,0,2020-01-06 00:00:00+00:00,,,,,False,False
1578355200000,7757.74,8215.33,7733.0,8152.49,280809.162,1578441599999,2233372067.10005,526402,140703.918,1119355459.7707,0,2020-01-07 00:00:00+00:00,,,,,False,False
1578441600000,8150.9,8468.42,7870.11,8059.84,321225.114,1578527999999,2644782835.79284,650971,157260.453,1295047587.12318,0,2020-01-08 00:00:00+00:00,,,,,False,False
1578528000000,8059.77,8060.0,7750.01,7818.59,187263.143,1578614399999,1478591346.02358,362420,91426.059,721979491.09053,0,2020-01-09 00:00:00+00:00,,,,,False,False
1578614400000,7817.91,8210.62,7670.0,8207.09,253783.948,1578700799999,2013738849.92087,542054,129373.462,1026943509.85917,0,2020-01-10 00:00:00+00:00,,,,,False,False
1578700800000,8207.2,8292.19,8003.87,8020.56,164741.715,1578787199999,1338581053.9655,354690,81244.929,660268578.07588,0,2020-01-11 00:00:00+00:00,,,,,False,False
1578787200000,8020.58,8195.0,7956.28,8186.7,108629.964,1578873599999,881428055.68761,243290,54658.736,443543021.84472,0,2020-01-12 00:00:00+00:00,,,,,False,False
1578873600000,8186.22,8200.0,8053.78,8113.0,74581.364,1578959999999,604921759.06788,184440,36688.577,297649675.36952,0,2020-01-13 00:00:00+00:00,,,,,False,False
1578960000000,8112.99,8893.0,8109.02,8825.0,290777.981,1579046399999,2496741836.26976,652920,149457.707,1283141153.07419,0,2020-01-14 00:00:00+00:00,,,,,False,False
1579046400000,8825.0,8921.2,8570.52,8825.3,237633.837,1579132799999,2084078908.15777,435491,115421.367,1012516254.34404,0,2020-01-15 00:00:00+00:00,,,,,False,False
1579132800000,8825.35,8868.21,8596.25,8725.08,167958.963,1579219199999,1460649456.34463,294579,83305.758,724430509.13343,0,2020-01-16 00:00:00+00:00,,,,,False,False
1579219200000,8724.99,9039.0,8680.0,8918.72,205717.686,1579305599999,1827760141.13558,390463,102758.035,913167403.80218,0,2020-01-17 00:00:00+00:00,,,,,False,False
1579305600000,8918.73,8995.0,8816.0,8925.0,114708.682,1579391999999,1021654832.44937,220520,57164.221,509171594.41337,0,2020-01-18 00:00:00+00:00,,,,,False,False
1579392000000,8925.0,9205.3,8440.91,8705.85,225314.525,1579478399999,1990403744.33708,444795,109554.498,968352310.34136,0,2020-01-19 00:00:00+00:00,,,,,False,False
1579478400000,8705.98,8750.37,8526.06,8650.0,125161.675,1579564799999,1083263125.12439,240897,60421.576,522998706.3357,0,2020-01-20 00:00:00+00:00,8104.8505000000005,,,,False,False
