date,realized_pnl,unrealized_pnl,equity,position_side,entries_open,position_notional,initial_margin,peak,drawdown_usdt,drawdown_pct
2020-08-08 00:00:00+00:00,0.0,0.0,1000.0,0,0,0.0,0.0,1000.0,0.0,0.0
2020-08-09 00:00:00+00:00,0.0,-0.7475070854471245,999.2524929145529,1,1,100.0,10.0,1000.0,-0.7475070854470687,-0.0007475070854470189
2020-08-10 00:00:00+00:00,0.0,2.7789982456137095,1002.7789982456137,1,2,200.0,20.0,1002.7789982456137,0.0,0.0
2020-08-11 00:00:00+00:00,0.0,-10.127443213136793,989.8725567868632,1,3,300.0,30.0,1002.7789982456137,-12.906441458750464,-0.012870673878621952
2020-08-12 00:00:00+00:00,0.0,-5.654137317524542,994.3458626824755,1,3,300.0,30.0,1002.7789982456137,-8.433135563138194,-0.008409764841397882
2020-08-13 00:00:00+00:00,-5.8600005798839945,0.0,994.139999420116,0,0,0.0,0.0,1002.7789982456137,-8.638998825497652,-0.008615057595553699
2020-08-14 00:00:00+00:00,-5.8600005798839945,-0.2574903085540717,993.882509111562,1,1,100.0,10.0,1002.7789982456137,-8.896489134051762,-0.008871834322035421
2020-08-15 00:00:00+00:00,-5.8600005798839945,1.2198823882548067,995.3598818083709,1,2,200.0,20.0,1002.7789982456137,-7.419116437242792,-0.007398555863478151
2020-08-16 00:00:00+00:00,-5.8600005798839945,2.7310350839649864,996.8710345040811,1,3,300.0,30.0,1002.7789982456137,-5.907963741532626,-0.005891591020423026
2020-08-17 00:00:00+00:00,-5.8600005798839945,15.394695156772956,1009.534694576889,1,4,400.0,40.0,1009.534694576889,0.0,0.0
2020-08-18 00:00:00+00:00,-5.8600005798839945,1.1852431129602805,995.3252425330763,1,5,500.0,50.0,1009.534694576889,-14.20945204381269,-0.014075248844982124
2020-08-19 00:00:00+00:00,-5.8600005798839945,-8.796523926710586,985.3434754934054,1,6,600.0,60.0,1009.534694576889,-24.19121908348359,-0.02396274166052559
2020-08-20 00:00:00+00:00,-15.070015327738064,0.0,984.929984672262,0,0,0.0,0.0,1009.534694576889,-24.604709904627043,-0.024372327208565414
2020-08-21 00:00:00+00:00,-15.070015327738064,0.0,984.929984672262,0,0,0.0,0.0,1009.534694576889,-24.604709904627043,-0.024372327208565414
2020-08-22 00:00:00+00:00,-15.070015327738064,0.0,984.929984672262,0,0,0.0,0.0,1009.534694576889,-24.604709904627043,-0.024372327208565414
2020-08-23 00:00:00+00:00,-15.070015327738064,0.0,984.929984672262,0,0,0.0,0.0,1009.534694576889,-24.604709904627043,-0.024372327208565414
2020-08-24 00:00:00+00:00,-15.070015327738064,0.0,984.929984672262,0,0,0.0,0.0,1009.534694576889,-24.604709904627043,-0.024372327208565414
2020-08-25 00:00:00+00:00,-15.070015327738064,0.0,984.929984672262,0,0,0.0,0.0,1009.534694576889,-24.604709904627043,-0.024372327208565414
2020-08-26 00:00:00+00:00,-15.070015327738064,0.0,984.929984672262,0,0,0.0,0.0,1009.534694576889,-24.604709904627043,-0.024372327208565414
2020-08-27 00:00:00+00:00,-15.070015327738064,0.0,984.929984672262,0,0,0.0,0.0,1009.534694576889,-24.604709904627043,-0.024372327208565414
2020-08-28 00:00:00+00:00,-15.070015327738064,0.0,984.929984672262,0,0,0.0,0.0,1009.534694576889,-24.604709904627043,-0.024372327208565414
2020-08-29 00:00:00+00:00,-15.070015327738064,0.0,984.929984672262,0,0,0.0,0.0,1009.534694576889,-24.604709904627043,-0.024372327208565414
2020-08-30 00:00:00+00:00,-15.070015327738064,0.0,984.929984672262,0,0,0.0,0.0,1009.534694576889,-24.604709904627043,-0.024372327208565414
